study_name,category,center,code,country,creationDate,ctmsAction,ctmsId,description,dimension,entity_identifiers,id,location,metadataDate1,metadataDate2,metadataString1,metadataString2,metadataString3,signal,status,title,updatedDate
AA001-001,"{0, Default}",414,ACT-11593,Italy,2025-05-22T13:05:42+00:00,True,,"proportion of missing values of discontinue reasons] specified for parameter [name__v] : string exceeds max length [128]""}, {""type"": ""PARAMETER_REQUIRED"", ""message"": ""Missing required parameter [complete__v]""}], [{""type"": ""INVALID_DATA"", ""message"": ""Invalid value [- LEUKASE/URINALYSIS I test results have more '3+' status. All of such records are from patient 0090.\n- WBC/URINALYSIS II test results have more \u201813-30\u2019 status. All of such records are from patient 005.\nAlso below mentioned several lab results are showing atypical trends at this site:\n-",center,[414],682f2126d335517ffa1c0fce,414,,2025-08-14,,Diana Aarons,,"{null, Site-wide, Critical Data, SIG-31811, There is one reported adverse event which is recovered with sequelae. This is a rare event across all centers., [414], 67238619affdc8580e173e2f, None, open, Adverse Events: AE recovered with Sequelae}",open,"string exceeds max length [500]""}, {""type"": ""PARAMETER_REQUIRED"", ""message"": ""Missing required parameter [complete__v]""}], [{""type"": ""INVALID_DATA"", ""message"": ""Invalid value [Prior and Concomitant Medications",2025-05-22T13:32:42+00:00
AA001-001,"{0, Default}",414,ACT-11595,Italy,2025-05-22T13:07:04+00:00,True,,"(5 out of 6) than the study-wide average  of 6% (most are 'Absent').] specified for parameter [description__v] : string exceeds max length [500]""}, {""type"": ""PARAMETER_REQUIRED"", ""message"": ""Missing required parameter [complete__v]""}], [{""type"": ""INVALID_DATA"", ""message"": ""Invalid value [Prior and Concomitant Medications - Lupus specific - Non-Corticosteroids - Higher proportion of missing values of discontinue reasons] specified for parameter [name__v] : string exceeds max length [128]""}, {""type"": ""PARAMETER_REQUIRED"", ""message"":",center,[414],682f21785287ad729c932748,414,,2025-08-14,,Diana Aarons,,"{null, Site-wide, Critical Data, SIG-31811, There is one reported adverse event which is recovered with sequelae. This is a rare event across all centers., [414], 67238619affdc8580e173e2f, None, open, Adverse Events: AE recovered with Sequelae}",stalled,Test- Description Exceed,2025-05-22T13:32:41+00:00
AA001-001,"{0, Default}",414,ACT-11596,Italy,2025-05-22T13:07:26+00:00,True,,Action Desc,center,[414],682f218e46c33a65c1610b5a,414,2025-05-22,2025-08-14,Resolved,Diana Aarons,,"{null, Site-wide, Critical Data, SIG-31811, There is one reported adverse event which is recovered with sequelae. This is a rare event across all centers., [414], 67238619affdc8580e173e2f, None, open, Adverse Events: AE recovered with Sequelae}",resolved,Normal Action test,2025-05-22T13:32:42+00:00
AA001-001,"{0, Default}",414,ACT-22472,Italy,2026-04-24T14:27:26+00:00,True,,Test 10,center,[414],69eb7dcec3734fc2e279e6b4,414,,,,,,"{null, Site-wide, Critical Data, SIG-31811, There is one reported adverse event which is recovered with sequelae. This is a rare event across all centers., [414], 67238619affdc8580e173e2f, None, open, Adverse Events: AE recovered with Sequelae}",new,Test 100,2026-04-24T14:27:26+00:00
AA001-001,"{0, Default}",414,ACT-22473,Italy,2026-04-24T14:27:55+00:00,True,,Test 10,center,[414],69eb7debdababcc4b05fcb57,414,,,,,,"{null, Site-wide, Critical Data, SIG-31811, There is one reported adverse event which is recovered with sequelae. This is a rare event across all centers., [414], 67238619affdc8580e173e2f, None, open, Adverse Events: AE recovered with Sequelae}",new,Test 102,2026-04-24T14:27:55+00:00
AA001-001,"{0, Default}",414,ACT-9337,Italy,2025-03-21T13:09:10+00:00,True,,Testing Site,center,[414],67dd64f6161b3fd106253e31,414,,2025-06-13,,Diana Aarons,,"{null, Site-wide, Critical Data, SIG-31811, There is one reported adverse event which is recovered with sequelae. This is a rare event across all centers., [414], 67238619affdc8580e173e2f, None, open, Adverse Events: AE recovered with Sequelae}",open,Check Site Details,2025-04-01T11:01:19+00:00
AA001-001,"{0, Default}",414,ACT-9331,Italy,2025-03-21T06:48:28+00:00,True,,test18,center,[414],67dd0bbc6eb95459d7a79c7d,414,,2025-06-13,,Diana Aarons,,"{null, Site-wide, Critical Data, SIG-31811, There is one reported adverse event which is recovered with sequelae. This is a rare event across all centers., [414], 67238619affdc8580e173e2f, None, open, Adverse Events: AE recovered with Sequelae}",open,dryrun test18,2025-04-01T11:01:19+00:00
AA001-001,"{0, Default}",414,ACT-9402,Italy,2025-03-24T09:10:18+00:00,True,,test24,center,[414],67e1217a5f4f90acb1541835,414,,2025-06-16,,Diana Aarons,,"{null, Site-wide, Critical Data, SIG-31811, There is one reported adverse event which is recovered with sequelae. This is a rare event across all centers., [414], 67238619affdc8580e173e2f, None, open, Adverse Events: AE recovered with Sequelae}",open,dryruntest24,2025-04-01T11:01:21+00:00
AA001-001,"{0, Default}",414,ACT-9634,Italy,2025-04-01T08:58:18+00:00,True,,action17,center,[414],67ebaaaa3c7e4d8857a0309f,414,,2025-06-24,,Diana Aarons,,"{null, Site-wide, Critical Data, SIG-31811, There is one reported adverse event which is recovered with sequelae. This is a rare event across all centers., [414], 67238619affdc8580e173e2f, None, open, Adverse Events: AE recovered with Sequelae}",stalled,Action17_OPEN,2025-04-01T11:01:22+00:00
AA001-001,"{0, Default}",414,ACT-8705,Italy,2025-03-19T12:36:08+00:00,True,,AE high,center,[414],67daba3873fead9f4f0887b4,414,,2025-06-11,,Diana Aarons,,"{null, Site-wide, Critical Data, SIG-31811, There is one reported adverse event which is recovered with sequelae. This is a rare event across all centers., [414], 67238619affdc8580e173e2f, None, open, Adverse Events: AE recovered with Sequelae}",open,Adverse events_test,2025-04-01T11:01:22+00:00
AA001-001,"{0, Default}",414,ACT-9330,Italy,2025-03-21T06:48:14+00:00,True,,test17,center,[414],67dd0bae73fead9f4f08caab,414,,2025-06-13,,Diana Aarons,,"{null, Site-wide, Critical Data, SIG-31811, There is one reported adverse event which is recovered with sequelae. This is a rare event across all centers., [414], 67238619affdc8580e173e2f, None, open, Adverse Events: AE recovered with Sequelae}",open,dryrun test17,2025-04-01T11:01:24+00:00
AA001-001,"{0, Default}",290,ACT-7936,Spain,2025-02-13T10:20:30+00:00,True,,Test Signal,center,[290],67adc76e9da08fbfefb7a89f,290,,2025-05-08,,,,"{null, Site-wide, Critical Data, SIG-31812, Patients are born in the future, [290], 6723861aaffdc8580e173e30, Medium, open, Demog: patients are born in the future}",open,Test,2025-03-10T09:20:05+00:00
AA001-001,"{0, Default}",290,ACT-7926,Spain,2025-02-12T14:48:00+00:00,True,,Send someone on site to check the dates of births,center,[290],67acb4a0eaa853966d924284,290,,2025-05-07,,string1,string2,"{null, Site-wide, Critical Data, SIG-31812, Patients are born in the future, [290], 6723861aaffdc8580e173e30, Medium, open, Demog: patients are born in the future}",open,test,2025-03-10T09:20:04+00:00
AA001-001,"{0, Default}",290,ACT-7812,Spain,2025-02-04T14:17:03+00:00,True,,Test Action Flow,center,[290],67a2215f4ab63e8aa1084da2,290,,2025-04-29,,,,"{null, Site-wide, Critical Data, SIG-31812, Patients are born in the future, [290], 6723861aaffdc8580e173e30, Medium, open, Demog: patients are born in the future}",open,Test 3,2025-03-10T09:20:05+00:00
AA001-001,"{0, Default}",290,ACT-9636,Spain,2025-04-01T08:59:08+00:00,True,,action19,center,[290],67ebaadc9f327a2fe3e0118b,290,,2025-06-24,,Aditya Sharma,,"{null, Site-wide, Critical Data, SIG-31812, Patients are born in the future, [290], 6723861aaffdc8580e173e30, Medium, open, Demog: patients are born in the future}",deprecated,Action19_OPEN,2025-04-01T11:01:20+00:00
AA001-001,"{0, Default}",290,ACT-9631,Spain,2025-04-01T08:50:00+00:00,True,,action14,center,[290],67eba8b89f327a2fe3e01187,290,,2025-06-24,,Aditya Sharma,,"{null, Site-wide, Critical Data, SIG-31812, Patients are born in the future, [290], 6723861aaffdc8580e173e30, Medium, open, Demog: patients are born in the future}",open,Action14_OPEN,2025-04-01T11:01:20+00:00
AA001-001,"{0, Default}",290,ACT-9570,Spain,2025-03-28T06:58:39+00:00,True,,action09,center,[290],67e6489fb3ddd33b04b57552,290,,2025-06-20,,Sara Joyce,,"{null, Site-wide, Critical Data, SIG-31812, Patients are born in the future, [290], 6723861aaffdc8580e173e30, Medium, open, Demog: patients are born in the future}",deprecated,Action09_OPEN,2025-04-03T15:14:58+00:00
AA001-001,"{0, Default}",290,ACT-9632,Spain,2025-04-01T08:50:19+00:00,True,,action15,center,[290],67eba8cbb8ffdbf17bf15888,290,,2025-06-24,,Aditya Sharma,,"{null, Site-wide, Critical Data, SIG-31812, Patients are born in the future, [290], 6723861aaffdc8580e173e30, Medium, open, Demog: patients are born in the future}",open,Action15_OPEN,2025-04-01T11:01:22+00:00
AA001-001,"{0, Default}",290,ACT-9571,Spain,2025-03-28T06:58:58+00:00,True,,action10,center,[290],67e648b2b8ffdbf17bf1460a,290,,2025-06-20,,STUAT Central Monitor 1,,"{null, Site-wide, Critical Data, SIG-31812, Patients are born in the future, [290], 6723861aaffdc8580e173e30, Medium, open, Demog: patients are born in the future}",open,Action10_OPEN,2025-04-03T15:14:58+00:00
AA001-001,"{0, Default}",290,ACT-9635,Spain,2025-04-01T08:58:45+00:00,True,,action18,center,[290],67ebaac53c7e4d8857a030a0,290,2025-04-01,2025-06-24,FUI is resolved,Aditya Sharma,,"{null, Site-wide, Critical Data, SIG-31812, Patients are born in the future, [290], 6723861aaffdc8580e173e30, Medium, open, Demog: patients are born in the future}",resolved,Action18_OPEN,2025-04-01T11:01:20+00:00
AA001-001,"{0, Default}",290,ACT-9688,Spain,2025-04-03T11:14:46+00:00,True,,D,center,[290],67ee6da641ab25c700203a6c,290,,2025-06-26,,Aditya Sharma,,"{null, Site-wide, Critical Data, SIG-31812, Patients are born in the future, [290], 6723861aaffdc8580e173e30, Medium, open, Demog: patients are born in the future}",open,Trial,2025-04-03T15:14:58+00:00
AA001-001,"{0, Default}",290,ACT-7156,Spain,2024-10-31T13:28:59+00:00,False,,Send someone on site to collect blood samples,center,[290],6723861b9eb233f63e7dccdd,290,,,,,,"{null, Site-wide, Critical Data, SIG-31812, Patients are born in the future, [290], 6723861aaffdc8580e173e30, Medium, open, Demog: patients are born in the future}",new,Collect blood samples,2025-02-13T10:21:21+00:00
AA001-001,"{0, Default}",290,ACT-7858,Spain,2025-02-05T21:20:30+00:00,False,,test action for sync to CTMS,center,[290],67a3d61e401eb0827014a9da,290,,,,,,"{null, Site-wide, Critical Data, SIG-31812, Patients are born in the future, [290], 6723861aaffdc8580e173e30, Medium, open, Demog: patients are born in the future}",deprecated,test action for sync to CTMS,2025-02-14T06:46:13+00:00
AA001-001,"{0, Default}",290,ACT-7811,Spain,2025-02-04T14:12:24+00:00,True,,Testing the action,center,[290],67a22048c9d0bceeda3d86d4,290,,2025-04-29,,,,"{null, Site-wide, Critical Data, SIG-31812, Patients are born in the future, [290], 6723861aaffdc8580e173e30, Medium, open, Demog: patients are born in the future}",open,Test Action,2025-03-10T09:20:04+00:00
AA001-001,"{0, Default}",290,ACT-7937,Spain,2025-02-13T10:23:11+00:00,True,,Signal Test 01,center,[290],67adc80fc992c02a7514c4db,290,,2025-05-08,,,,"{null, Site-wide, Critical Data, SIG-31812, Patients are born in the future, [290], 6723861aaffdc8580e173e30, Medium, open, Demog: patients are born in the future}",open,Test01,2025-03-10T09:20:04+00:00
AA001-001,"{0, Default}",290,ACT-7155,Spain,2024-10-31T13:28:59+00:00,False,,Send someone on site to check the dates of births,center,[290],6723861b542122ce613587d3,290,,,,,,"{null, Site-wide, Critical Data, SIG-31812, Patients are born in the future, [290], 6723861aaffdc8580e173e30, Medium, open, Demog: patients are born in the future}",resolved,Verify the dates of births,2025-02-13T13:49:26+00:00
AA001-001,"{0, Default}",290,ACT-8563,Spain,2025-03-12T10:11:04+00:00,True,,dryrun2,center,[290],67d15db804f41d686da2dce4,290,,,,,,"{null, Site-wide, Critical Data, SIG-31812, Patients are born in the future, [290], 6723861aaffdc8580e173e30, Medium, open, Demog: patients are born in the future}",new,Dryrun Test02,2025-03-12T10:11:04+00:00
AA001-001,"{0, Default}",290,ACT-22464,Spain,2026-04-24T13:54:30+00:00,True,,Test 001,center,[290],69eb76161782d51f411f709d,290,,,,,,"{null, Site-wide, Critical Data, SIG-31812, Patients are born in the future, [290], 6723861aaffdc8580e173e30, Medium, open, Demog: patients are born in the future}",new,Test 001,2026-04-24T13:54:30+00:00
AA001-001,"{0, Default}",290,ACT-22465,Spain,2026-04-24T13:54:47+00:00,True,,Test 00,center,[290],69eb7627d07e933ecddf31c7,290,,,,,,"{null, Site-wide, Critical Data, SIG-31812, Patients are born in the future, [290], 6723861aaffdc8580e173e30, Medium, open, Demog: patients are born in the future}",new,Test 002,2026-04-24T13:54:47+00:00
AA001-001,"{0, Default}",290,ACT-22466,Spain,2026-04-24T13:55:04+00:00,True,,Test 00,center,[290],69eb7638dababcc4b05fcb33,290,,,,,,"{null, Site-wide, Critical Data, SIG-31812, Patients are born in the future, [290], 6723861aaffdc8580e173e30, Medium, open, Demog: patients are born in the future}",new,Test 003,2026-04-24T13:55:04+00:00
AA001-001,"{0, Default}",290,ACT-22467,Spain,2026-04-24T13:55:21+00:00,True,,Test 00,center,[290],69eb76491782d51f411f709e,290,,,,,,"{null, Site-wide, Critical Data, SIG-31812, Patients are born in the future, [290], 6723861aaffdc8580e173e30, Medium, open, Demog: patients are born in the future}",new,Test 004,2026-04-24T13:55:21+00:00
AA001-001,"{0, Default}",290,ACT-22468,Spain,2026-04-24T13:55:32+00:00,True,,Test 00,center,[290],69eb7654d07e933ecddf31c8,290,,,,,,"{null, Site-wide, Critical Data, SIG-31812, Patients are born in the future, [290], 6723861aaffdc8580e173e30, Medium, open, Demog: patients are born in the future}",new,Test 005,2026-04-24T13:55:32+00:00
AA001-001,"{0, Default}",290,ACT-22469,Spain,2026-04-24T13:55:43+00:00,True,,Test 00,center,[290],69eb765f737040d6cead39c7,290,,,,,,"{null, Site-wide, Critical Data, SIG-31812, Patients are born in the future, [290], 6723861aaffdc8580e173e30, Medium, open, Demog: patients are born in the future}",new,Test 006,2026-04-24T13:55:43+00:00
AA001-001,"{0, Default}",290,ACT-22470,Spain,2026-04-24T13:55:54+00:00,True,,Test 00,center,[290],69eb766a1782d51f411f709f,290,,,,,,"{null, Site-wide, Critical Data, SIG-31812, Patients are born in the future, [290], 6723861aaffdc8580e173e30, Medium, open, Demog: patients are born in the future}",new,Test 007,2026-04-24T13:55:54+00:00
AA001-001,"{0, Default}",290,ACT-22471,Spain,2026-04-24T13:56:05+00:00,True,,Test 00,center,[290],69eb7675d07e933ecddf31c9,290,,,,,,"{null, Site-wide, Critical Data, SIG-31812, Patients are born in the future, [290], 6723861aaffdc8580e173e30, Medium, open, Demog: patients are born in the future}",new,Test 008,2026-04-24T13:56:05+00:00
AA001-001,"{0, Default}",290,ACT-8706,Spain,2025-03-19T12:52:45+00:00,True,,test,center,[290],67dabe1d6eb95459d7a781aa,290,,2025-06-11,,Aditya Sharma,,"{null, Site-wide, Critical Data, SIG-31812, Patients are born in the future, [290], 6723861aaffdc8580e173e30, Medium, open, Demog: patients are born in the future}",open,test,2025-04-01T11:01:18+00:00
AA001-001,"{0, Default}",290,ACT-9403,Spain,2025-03-24T09:10:40+00:00,True,,test225,center,[290],67e12190cc5391bbcfccc1ec,290,,2025-06-16,,Aditya Sharma,,"{null, Site-wide, Critical Data, SIG-31812, Patients are born in the future, [290], 6723861aaffdc8580e173e30, Medium, open, Demog: patients are born in the future}",open,dryruntest25,2025-04-01T11:01:18+00:00
AA001-001,"{0, Default}",290,ACT-9332,Spain,2025-03-21T06:54:09+00:00,True,,test19,center,[290],67dd0d110b45bd136fcd1a4b,290,,2025-06-13,,Aditya Sharma,,"{null, Site-wide, Critical Data, SIG-31812, Patients are born in the future, [290], 6723861aaffdc8580e173e30, Medium, open, Demog: patients are born in the future}",open,dryrun test19,2025-04-01T11:01:19+00:00
AA001-001,"{0, Default}",,ACT-22474,,2026-04-24T14:40:37+00:00,True,,Test 200,,[],69eb80e5d07e933ecddf31e6,,,,,,,"{null, Site-wide, Critical Data, SIG-31813, Abnormal patient identifiers found in DM, [], 6723861baffdc8580e173e31, None, open, Abnormal patient identifiers}",new,Test 200,2026-04-24T14:40:37+00:00
AA001-001,"{0, Default}",,ACT-22475,,2026-04-24T14:40:45+00:00,True,,Test 201,,[],69eb80edc3734fc2e279e6b5,,,,,,,"{null, Site-wide, Critical Data, SIG-31813, Abnormal patient identifiers found in DM, [], 6723861baffdc8580e173e31, None, open, Abnormal patient identifiers}",new,Test 201,2026-04-24T14:40:45+00:00
AA001-001,"{0, Default}",,ACT-22476,,2026-04-24T14:40:53+00:00,True,,Test 202,,[],69eb80f5dababcc4b05fcb58,,,,,,,"{null, Site-wide, Critical Data, SIG-31813, Abnormal patient identifiers found in DM, [], 6723861baffdc8580e173e31, None, open, Abnormal patient identifiers}",new,Test 202,2026-04-24T14:40:53+00:00
AA001-001,"{0, Default}",,ACT-22477,,2026-04-24T14:40:59+00:00,True,,Test 203,,[],69eb80fbdababcc4b05fcb59,,,,,,,"{null, Site-wide, Critical Data, SIG-31813, Abnormal patient identifiers found in DM, [], 6723861baffdc8580e173e31, None, open, Abnormal patient identifiers}",new,Test 203,2026-04-24T14:40:59+00:00
AA001-001,"{0, Default}",,ACT-22478,,2026-04-24T14:41:06+00:00,True,,Test 204,,[],69eb8102c3734fc2e279e6b6,,,,,,,"{null, Site-wide, Critical Data, SIG-31813, Abnormal patient identifiers found in DM, [], 6723861baffdc8580e173e31, None, open, Abnormal patient identifiers}",new,Test 204,2026-04-24T14:41:06+00:00
AA001-001,"{0, Default}",,ACT-22479,,2026-04-24T14:41:13+00:00,True,,Test 205,,[],69eb8109d07e933ecddf31e7,,,,,,,"{null, Site-wide, Critical Data, SIG-31813, Abnormal patient identifiers found in DM, [], 6723861baffdc8580e173e31, None, open, Abnormal patient identifiers}",new,Test 205,2026-04-24T14:41:13+00:00
AA001-001,"{0, Default}",,ACT-22480,,2026-04-24T14:41:21+00:00,True,,Test 206,,[],69eb8111b5b06a238d1ebc3a,,,,,,,"{null, Site-wide, Critical Data, SIG-31813, Abnormal patient identifiers found in DM, [], 6723861baffdc8580e173e31, None, open, Abnormal patient identifiers}",new,Test 206,2026-04-24T14:41:21+00:00
AA001-001,"{0, Default}",,ACT-22481,,2026-04-24T14:41:38+00:00,True,,Test 207,,[],69eb81220ef51eb10a867ae1,,,,,,,"{null, Site-wide, Critical Data, SIG-31813, Abnormal patient identifiers found in DM, [], 6723861baffdc8580e173e31, None, open, Abnormal patient identifiers}",new,Test 207,2026-04-24T14:41:38+00:00
AA001-001,"{0, Default}",,ACT-22482,,2026-04-24T14:41:45+00:00,True,,Test 208,,[],69eb8129dababcc4b05fcb5b,,,,,,,"{null, Site-wide, Critical Data, SIG-31813, Abnormal patient identifiers found in DM, [], 6723861baffdc8580e173e31, None, open, Abnormal patient identifiers}",new,Test 208,2026-04-24T14:41:45+00:00
AA001-001,"{0, Default}",,ACT-22483,,2026-04-24T14:41:56+00:00,True,,Test 209,,[],69eb8134c3734fc2e279e6b8,,,,,,,"{null, Site-wide, Critical Data, SIG-31813, Abnormal patient identifiers found in DM, [], 6723861baffdc8580e173e31, None, open, Abnormal patient identifiers}",new,Test 209,2026-04-24T14:41:56+00:00
AA001-001,"{0, Default}",,ACT-22484,,2026-04-24T14:42:08+00:00,True,,Test 210,,[],69eb8140c3734fc2e279e6cd,,,,,,,"{null, Site-wide, Critical Data, SIG-31813, Abnormal patient identifiers found in DM, [], 6723861baffdc8580e173e31, None, open, Abnormal patient identifiers}",new,Test 210,2026-04-24T14:42:08+00:00
AA001-001,"{0, Default}",,ACT-22485,,2026-04-24T14:42:16+00:00,True,,Test 211,,[],69eb8148737040d6cead3a09,,,,,,,"{null, Site-wide, Critical Data, SIG-31813, Abnormal patient identifiers found in DM, [], 6723861baffdc8580e173e31, None, open, Abnormal patient identifiers}",new,Test 211,2026-04-24T14:42:16+00:00
AA001-001,"{0, Default}",,ACT-22486,,2026-04-24T14:42:22+00:00,True,,Test 212,,[],69eb814e0ef51eb10a867b1e,,,,,,,"{null, Site-wide, Critical Data, SIG-31813, Abnormal patient identifiers found in DM, [], 6723861baffdc8580e173e31, None, open, Abnormal patient identifiers}",new,Test 212,2026-04-24T14:42:22+00:00
AA001-001,"{0, Default}",,ACT-22487,,2026-04-24T14:42:28+00:00,True,,Test 213,,[],69eb81541782d51f411f70ec,,,,,,,"{null, Site-wide, Critical Data, SIG-31813, Abnormal patient identifiers found in DM, [], 6723861baffdc8580e173e31, None, open, Abnormal patient identifiers}",new,Test 213,2026-04-24T14:42:28+00:00
AA001-001,"{0, Default}",,ACT-22488,,2026-04-24T14:42:35+00:00,True,,Test 214,,[],69eb815b1782d51f411f70ed,,,,,,,"{null, Site-wide, Critical Data, SIG-31813, Abnormal patient identifiers found in DM, [], 6723861baffdc8580e173e31, None, open, Abnormal patient identifiers}",new,Test 214,2026-04-24T14:42:35+00:00
AA001-001,"{0, Default}",,ACT-22489,,2026-04-24T14:42:45+00:00,True,,Test 214,,[],69eb81651782d51f411f70ee,,,,,,,"{null, Site-wide, Critical Data, SIG-31813, Abnormal patient identifiers found in DM, [], 6723861baffdc8580e173e31, None, open, Abnormal patient identifiers}",new,Test 214,2026-04-24T14:42:45+00:00
AA001-001,"{0, Default}",,ACT-22490,,2026-04-24T14:42:51+00:00,True,,Test 215,,[],69eb816b1782d51f411f70ef,,,,,,,"{null, Site-wide, Critical Data, SIG-31813, Abnormal patient identifiers found in DM, [], 6723861baffdc8580e173e31, None, open, Abnormal patient identifiers}",new,Test 215,2026-04-24T14:42:51+00:00
AA001-001,"{0, Default}",,ACT-22491,,2026-04-24T14:42:57+00:00,True,,Test 216,,[],69eb8171737040d6cead3a0b,,,,,,,"{null, Site-wide, Critical Data, SIG-31813, Abnormal patient identifiers found in DM, [], 6723861baffdc8580e173e31, None, open, Abnormal patient identifiers}",new,Test 216,2026-04-24T14:42:57+00:00
AA001-001,"{0, Default}",,ACT-22492,,2026-04-24T14:43:04+00:00,True,,Test 217,,[],69eb8178b5b06a238d1ebc79,,,,,,,"{null, Site-wide, Critical Data, SIG-31813, Abnormal patient identifiers found in DM, [], 6723861baffdc8580e173e31, None, open, Abnormal patient identifiers}",new,Test 217,2026-04-24T14:43:04+00:00
AA001-001,"{0, Default}",,ACT-22493,,2026-04-24T14:43:11+00:00,True,,Test 218,,[],69eb817fb5b06a238d1ebc7a,,,,,,,"{null, Site-wide, Critical Data, SIG-31813, Abnormal patient identifiers found in DM, [], 6723861baffdc8580e173e31, None, open, Abnormal patient identifiers}",new,Test 218,2026-04-24T14:43:11+00:00
AA001-001,"{0, Default}",,ACT-22494,,2026-04-24T14:43:18+00:00,True,,Test 219,,[],69eb8186c3734fc2e279e6ec,,,,,,,"{null, Site-wide, Critical Data, SIG-31813, Abnormal patient identifiers found in DM, [], 6723861baffdc8580e173e31, None, open, Abnormal patient identifiers}",new,Test 219,2026-04-24T14:43:18+00:00
