STUDY_NAME,STUDY_STATUS,SNAPSHOT_ID,SNAPSHOT_NAME,SNAPSHOT_DATE,ANALYSIS_NAME,KRI_CATEGORY,KRI_GROUPING_TYPE,KRI_LABEL,KRI_CODE,KRI_DISABLED,KRI_DESCRIPTION,LOCATION,COUNTRY,N_PATIENTS,LOCATION_SCORE,SCORE,EXPECTED,OBSERVED,RELATIVE_SCORE_THRESHOLDS_BELOW_HIGH,RELATIVE_SCORE_THRESHOLDS_BELOW_MEDIUM,RELATIVE_SCORE_THRESHOLDS_ABOVE_MEDIUM,RELATIVE_SCORE_THRESHOLDS_ABOVE_HIGH,ABSOLUTE_VALUE_THRESHOLDS_BELOW_HIGH,ABSOLUTE_VALUE_THRESHOLDS_BELOW_MEDIUM,ABSOLUTE_VALUE_THRESHOLDS_ABOVE_MEDIUM,ABSOLUTE_VALUE_THRESHOLDS_ABOVE_HIGH
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Center - KRI,Data Quality,center,KRI missing pvalue,PVALUE0,N,This KRI is missing pvalue and is forced,184,USA,22,0.0,,1.0,,-3.0,-1.3,1.3,3.0,0.5,0.65,1.0,1.2
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Center - KRI,Data Quality,center,Total Number of Queries,TOTALQ,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",187,Belgium,9,0.5,0.109287,0.949868,0.982014,-3.0,-1.3,1.3,3.0,0.5,0.65,1.0,1.2
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Center - KRI,Data Quality,center,KRI missing pvalue,PVALUE0,N,This KRI is missing pvalue and is forced,187,Belgium,9,0.5,,1.0,1.0,-3.0,-1.3,1.3,3.0,0.5,0.65,1.0,1.2
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Center - KRI,Data Quality,center,Total Number of Queries,TOTALQ,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",188,Belgium,9,1.0,0.619357,0.949868,0.185867,-3.0,-1.3,1.3,3.0,0.5,0.65,1.0,1.2
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Center - KRI,Data Quality,center,KRI missing pvalue,PVALUE0,N,This KRI is missing pvalue and is forced,188,Belgium,9,1.0,,1.0,,-3.0,-1.3,1.3,3.0,0.5,0.65,1.0,1.2
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Center - KRI,Data Quality,center,Total Number of Queries,TOTALQ,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",189,Belgium,18,1.0,0.721362,0.949868,0.29908,-3.0,-1.3,1.3,3.0,0.5,0.65,1.0,1.2
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Center - KRI,Data Quality,center,KRI missing pvalue,PVALUE0,N,This KRI is missing pvalue and is forced,189,Belgium,18,1.0,,1.0,,-3.0,-1.3,1.3,3.0,0.5,0.65,1.0,1.2
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Center - KRI,Data Quality,center,Total Number of Queries,TOTALQ,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",190,Belgium,31,1.0,3.25124,0.949868,0.320125,-3.0,-1.3,1.3,3.0,0.5,0.65,1.0,1.2
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Center - KRI,Data Quality,center,KRI missing pvalue,PVALUE0,N,This KRI is missing pvalue and is forced,190,Belgium,31,1.0,,1.0,,-3.0,-1.3,1.3,3.0,0.5,0.65,1.0,1.2
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Center - KRI,Data Quality,center,Total Number of Queries,TOTALQ,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",290,Spain,6,0.5,-0.107644,0.949868,0.75,-3.0,-1.3,1.3,3.0,0.5,0.65,1.0,1.2
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Center - KRI,Data Quality,center,KRI missing pvalue,PVALUE0,N,This KRI is missing pvalue and is forced,290,Spain,6,0.5,,1.0,1.0,-3.0,-1.3,1.3,3.0,0.5,0.65,1.0,1.2
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Center - KRI,Data Quality,center,Total Number of Queries,TOTALQ,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",414,Italy,8,1.5,-7.30103,0.949868,0.529412,-3.0,-1.3,1.3,3.0,0.5,0.65,1.0,1.2
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Center - KRI,Data Quality,center,KRI missing pvalue,PVALUE0,N,This KRI is missing pvalue and is forced,414,Italy,8,1.5,,1.0,1.0,-3.0,-1.3,1.3,3.0,0.5,0.65,1.0,1.2
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",208109001,UK,1,0.5,-0.250965,1.37639,1.0,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",208109002,UK,1,0.5,-0.333902,1.37639,1.07692,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",208109003,UK,1,0.5,-0.188748,1.37639,1.13333,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",208109004,UK,1,0.5,-0.170067,1.37639,1.14286,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",208109005,UK,1,0.5,0.530073,1.37639,2.33333,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",208109006,UK,1,0.5,0.0,1.37639,1.33333,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",208109007,UK,1,0.5,-0.122551,1.37639,1.0,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",208109008,UK,1,0.5,0.0,1.37639,1.0,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",208109009,UK,1,0.5,0.0273515,1.37639,1.5,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",208109010,UK,1,0.5,-0.00526064,1.37639,1.33333,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",208109011,UK,1,0.5,0.162193,1.37639,1.55556,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",208109012,UK,1,0.5,-0.122551,1.37639,1.0,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",208109013,UK,1,0.5,-0.0742842,1.37639,1.0,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",208109014,UK,1,0.5,0.238697,1.37639,1.6087,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",208109015,UK,1,0.5,0.838818,1.37639,2.25,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",208109016,UK,1,0.5,0.169698,1.37639,1.66667,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",208109017,UK,1,0.5,-0.162217,1.37639,1.0,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",208109018,UK,1,0.5,-0.122551,1.37639,1.0,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",208109019,UK,1,0.5,0.212924,1.37639,2.0,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",208109020,UK,1,0.5,0.820862,1.37639,3.0,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",208109021,UK,1,0.5,0.0,1.37639,1.0,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",208109022,UK,1,0.5,0.0443613,1.37639,1.45455,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",208109023,UK,1,0.5,0.0273515,1.37639,1.5,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",208109024,UK,1,0.5,1.22315,1.37639,2.66667,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",208109025,UK,1,0.5,0.0,1.37639,1.33333,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",208109026,UK,1,0.5,-0.0120327,1.37639,1.0,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",208109027,UK,1,0.5,0.0,1.37639,1.0,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",208109028,UK,1,0.5,-0.0120327,1.37639,1.0,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",208109029,UK,1,0.5,-0.0232842,1.37639,1.25,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",208109030,UK,1,0.5,-0.0742842,1.37639,1.0,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",208109031,UK,1,0.5,0.212924,1.37639,2.0,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",208109032,UK,1,0.5,0.0,1.37639,1.0,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",208109033,UK,1,0.5,0.530073,1.37639,2.33333,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",208109034,UK,1,0.5,0.0273515,1.37639,1.5,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",208109035,UK,1,0.0,,1.37639,,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",208109036,UK,1,0.5,0.0,1.37639,1.0,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",208109037,UK,1,1.0,1.45996,1.37639,5.0,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",208109038,UK,1,0.5,-0.0120327,1.37639,1.0,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",528183001,USA,1,0.5,0.471841,1.37639,3.0,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",528183002,USA,1,0.5,-0.195916,1.37639,1.0,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",528183003,USA,1,0.5,0.0443613,1.37639,1.45455,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",528183004,USA,1,0.5,-0.195916,1.37639,1.0,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",528183005,USA,1,0.5,0.322897,1.37639,1.77778,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",528183006,USA,1,0.5,-0.0120327,1.37639,1.0,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",528183007,USA,1,0.5,0.0961463,1.37639,1.66667,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",528183008,USA,1,1.0,2.04342,1.37639,6.0,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",528183009,USA,1,0.0,,1.37639,,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",528183010,USA,1,0.5,0.0,1.37639,1.0,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",528183011,USA,1,0.5,0.0,1.37639,1.0,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",528183012,USA,1,0.5,0.0,1.37639,1.0,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",528183013,USA,1,0.5,-0.0120327,1.37639,1.0,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",528183014,USA,1,0.5,-0.0742842,1.37639,1.0,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",528183015,USA,1,1.0,2.04342,1.37639,6.0,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",528183016,USA,1,0.5,0.566675,1.37639,2.25,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Patient - KRI,Safety,subject,Weird AE outcome,AEOUT,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",528183017,USA,1,0.5,0.0961463,1.37639,1.66667,-3.0,-1.3,1.3,3.0,-0.4,0.62,0.9,5.0
